inscricao,idade,sexo,conclusao_ens_med,tipo_ens_med,treineiro,cadeira_canhoto,gestante,idoso,celular_na_residencia,internet_na_residencia,pessoas_na_residencia,renda_mensal_familiar,nota_ct,nota_ch,nota_lc,nota_mt,nota_redacao,estado,municipio,municipio_id
3843447,19,M,Cursando,2,0,0,0,0,1,B,9,<= 998.00,477.4,530.8,521.6,489.1,640.0,MA,SÃO LUÍS,2111300
787670,18,F,Cursando,2,0,0,0,0,1,B,3,998.00 até 1497.00,366.1,490.3,499.0,404.9,640.0,MS,DOURADOS,5003702
2746697,17,F,Cursando,1,1,0,0,0,1,B,5,<= 998.00,378.9,436.0,457.6,402.6,420.0,DF,BRASÍLIA,5300108
2458204,25,F,Concluído,1,0,0,0,0,1,B,5,<= 998.00,,,,,,BA,GONGOGI,2911501
4931145,16,F,Cursando,1,1,0,0,0,1,B,4,998.00 até 1497.00,355.0,553.1,548.7,551.1,320.0,PR,MATINHOS,4115705
739493,19,F,Concluído,1,0,0,0,0,1,B,4,998.00 até 1497.00,402.8,394.1,503.7,377.2,560.0,MS,NAVIRAÍ,5005707
2517855,20,M,Concluído,1,0,0,0,0,1,B,2,5988.00 até 6986.00,,592.9,611.2,,440.0,RJ,RIO DE JANEIRO,3304557
2307737,20,F,Concluído,1,0,0,0,0,1,B,4,2994.00 até 3992.00,623.6,644.1,610.4,752.6,800.0,SP,CARAPICUÍBA,3510609
5078102,27,F,Concluído,1,0,0,0,0,1,B,5,<= 998.00,,,,,,RJ,NITERÓI,3303302
293010,18,F,Concluído,1,0,0,0,0,1,B,2,998.00 até 1497.00,566.7,545.3,564.3,634.8,820.0,MG,BETIM,3106705
2551963,36,F,Cursando,2,0,0,0,0,1,B,2,998.00 até 1497.00,458.2,437.7,497.6,505.2,280.0,MG,ALMENARA,3101706
4029960,24,F,Concluído,1,0,0,0,0,1,B,4,1497.00 até 1996.00,443.1,472.0,544.7,652.7,600.0,CE,MARACANAÚ,2307650
4291511,21,M,Concluído,1,0,0,0,0,1,B,3,3992.00 até 4990.00,571.2,652.4,573.2,648.9,880.0,MG,MONTES CLAROS,3143302
4496371,22,M,Concluído,1,0,0,0,0,1,B,4,2495.00 até 2994.00,,,,,,RJ,NITERÓI,3303302
4344841,17,F,Cursando,1,1,0,0,0,1,B,4,2495.00 até 2994.00,402.9,444.9,520.7,592.3,440.0,PR,SÃO MATEUS DO SUL,4125605
25136,26,F,Concluído,1,0,0,0,0,1,B,3,<= 998.00,,,,,,PA,ANANINDEUA,1500800
290677,17,F,Cursando,2,0,0,0,0,1,B,4,<= 998.00,518.6,530.4,586.9,651.9,880.0,MG,SÃO JOSÉ DA LAPA,3162955
470318,19,F,Cursando,1,1,0,0,0,1,B,4,<= 998.00,,,,,,PB,CAMPINA GRANDE,2504009
2507827,21,F,Concluído,1,0,0,0,0,1,B,5,7984.00 até 8982.00,582.8,572.5,571.3,526.8,720.0,RJ,RIO DE JANEIRO,3304557
2548837,18,F,Cursando,2,0,0,0,0,1,A,5,<= 998.00,430.1,423.0,533.9,383.8,520.0,MG,COLUNA,3116803
4794852,20,F,Concluído,1,0,0,0,0,1,A,6,<= 998.00,387.5,476.4,449.7,507.6,680.0,PB,JOÃO PESSOA,2507507
4592542,21,M,Concluído,1,0,0,0,0,1,B,5,1497.00 até 1996.00,361.1,405.0,449.2,406.4,620.0,PB,SOUSA,2516201
1346187,25,M,Concluído,1,0,0,0,0,1,B,3,998.00 até 1497.00,,,,,,PR,GUARAPUAVA,4109401
3423777,33,M,Concluído,1,0,0,0,0,1,B,1,<= 998.00,,,,,,PE,PAULISTA,2610707
157119,17,M,Cursando,1,1,0,0,0,1,A,6,<= 998.00,,423.1,501.6,,560.0,CE,GUAIÚBA,2304954
2582676,23,F,Concluído,1,0,0,0,0,0,B,8,<= 998.00,,,,,,MA,BALSAS,2101400
3237891,23,F,Concluído,1,0,0,0,0,1,B,2,3992.00 até 4990.00,,,,,,SP,SÃO PAULO,3550308
3720820,18,M,Concluído,1,0,0,0,0,1,B,4,1497.00 até 1996.00,567.1,615.2,610.3,718.1,560.0,SP,ITAPECERICA DA SERRA,3522208
2910260,21,F,Concluído,1,0,0,0,0,1,B,5,<= 998.00,446.4,455.2,504.1,490.1,440.0,PE,JOAQUIM NABUCO,2608206
4020736,24,F,Concluído,1,0,0,0,0,1,B,6,<= 998.00,452.6,364.9,385.0,577.9,540.0,RN,SÃO GONÇALO DO AMARANTE,2412005
4321264,17,F,Cursando,1,1,0,0,0,1,B,8,14970.00 até 19960.00,597.2,566.9,591.4,684.6,760.0,PR,PINHAIS,4119152
2378346,18,F,Concluído,1,0,0,0,0,1,B,3,998.00 até 1497.00,490.9,561.0,541.2,490.2,860.0,PR,COLORADO,4105904
2511299,33,F,Concluído,1,0,0,0,0,1,A,3,1497.00 até 1996.00,,539.1,559.4,,560.0,RJ,SEROPÉDICA,3305554
1095187,45,M,Concluído,1,0,0,0,0,1,B,5,2994.00 até 3992.00,411.2,501.5,462.3,479.8,0.0,SP,EMBU DAS ARTES,3515004
451118,19,F,Concluído,1,0,0,0,0,1,B,4,998.00 até 1497.00,531.4,570.2,508.7,499.7,880.0,PB,LAGOA SECA,2508307
2459900,24,M,Concluído,1,0,0,0,0,1,B,1,Nenhuma Renda,,,,,,MG,BELO HORIZONTE,3106200
4723643,23,M,Concluído,1,0,0,0,0,1,B,4,1497.00 até 1996.00,570.7,533.8,541.6,584.0,780.0,MG,MANHUAÇU,3139409
4527101,18,M,Concluído,1,0,0,0,0,1,A,5,2994.00 até 3992.00,,487.4,504.5,,500.0,MA,ALTO ALEGRE DO MARANHÃO,2100436
4123637,18,M,Cursando,2,0,0,0,0,1,B,2,4990.00 até 5988.00,557.9,599.6,609.3,580.6,600.0,RJ,RIO DAS OSTRAS,3304524
4794668,21,M,Concluído,1,0,0,0,0,1,B,3,1497.00 até 1996.00,566.1,564.7,617.6,696.9,640.0,RJ,RIO DE JANEIRO,3304557
2014828,19,F,Cursando,2,0,0,0,0,1,B,4,1996.00 até 2495.00,464.2,534.3,527.4,372.6,480.0,GO,CASTELÂNDIA,5205059
1114730,50,M,Concluído,1,0,0,0,0,1,B,5,1497.00 até 1996.00,450.3,442.4,593.9,447.8,640.0,SP,GUAIMBÊ,3517307
4384534,23,F,Concluído,1,0,0,0,0,1,A,3,1996.00 até 2495.00,409.2,495.2,537.8,486.6,760.0,MG,SANTA MARIA DO SUAÇUÍ,3158201
708418,19,F,Cursando,2,0,0,0,0,1,B,4,1497.00 até 1996.00,,483.1,507.6,,620.0,SC,SÃO JOSÉ,4216602
553688,19,F,Cursando,2,0,0,0,0,1,B,5,<= 998.00,,,,,,ES,COLATINA,3201506
1204284,29,F,Concluído,1,0,0,0,0,1,A,4,Nenhuma Renda,,,,,,PB,SANTA LUZIA,2513406
4378179,17,F,Cursando,1,1,0,0,0,1,B,3,2994.00 até 3992.00,,501.0,563.7,,500.0,RJ,BOM JESUS DO ITABAPOANA,3300605
4107802,19,F,Concluído,1,0,0,0,0,1,B,4,1996.00 até 2495.00,442.9,492.1,507.7,497.7,640.0,SP,ITU,3523909
3511197,20,F,Concluído,1,0,0,0,0,1,A,2,998.00 até 1497.00,,446.5,446.0,,380.0,MG,ITAPAGIPE,3133402
4426478,37,M,Concluído,1,0,0,0,0,1,A,4,<= 998.00,,,,,,AM,MANAUS,1302603
2971431,25,F,Concluído,1,0,0,0,0,1,B,4,3992.00 até 4990.00,,667.7,645.4,,580.0,AM,MANAUS,1302603
3081465,20,F,Concluído,1,0,0,0,0,1,B,5,<= 998.00,,,,,,SC,POMERODE,4213203
2547011,23,M,Concluído,1,0,0,0,0,1,B,4,1996.00 até 2495.00,,,,,,SP,SÃO PAULO,3550308
4949238,19,F,Concluído,1,0,0,0,0,1,B,4,5988.00 até 6986.00,497.1,548.9,553.5,587.7,500.0,RS,PELOTAS,4314407
4486631,24,M,Concluído,1,0,0,0,0,1,B,4,1996.00 até 2495.00,396.3,401.0,549.3,458.0,440.0,RJ,VOLTA REDONDA,3306305
4163758,18,F,Cursando,2,0,0,0,0,1,B,4,1497.00 até 1996.00,412.1,549.7,493.1,364.9,540.0,PE,RECIFE,2611606
